# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
44 0.7903344097 -0.0691452999 0.6064448840 -0.0530570540 0.0000001192 0.0000000261 -2.7999997139 1 0044.png

45 0.8627299199 -0.0754790803 0.4980973428 -0.0435778700 0.0000000000 0.0000000075 -2.7999997139 1 0045.png

46 0.9203638910 -0.0805214024 0.3812272096 -0.0333530588 0.0000000000 0.0000000298 -2.8000001907 1 0046.png

47 0.9622501890 -0.0841859764 0.2578341549 -0.0225575641 0.0000000000 0.0000000000 -2.7999999523 1 0047.png

48 0.9876721123 -0.0864101152 0.1300295150 -0.0113761085 -0.0000001192 0.0000000298 -2.7999999523 1 0048.png

49 0.9961946986 0.0871557368 0.0000000000 0.0000000000 0.0000000000 -0.0000000298 -2.7999999523 1 0049.png

50 0.9876721123 0.0864101152 -0.1300295150 -0.0113761085 0.0000001192 -0.0000000298 -2.7999999523 1 0050.png

51 0.9622501890 0.0841859764 -0.2578341549 -0.0225575641 0.0000000000 0.0000000000 -2.7999999523 1 0051.png

52 0.9203638910 0.0805214024 -0.3812272096 -0.0333530588 0.0000000000 -0.0000000298 -2.8000001907 1 0052.png

53 0.8627299199 0.0754790803 -0.4980973428 -0.0435778700 0.0000000000 -0.0000000075 -2.7999997139 1 0053.png

54 0.7903344097 0.0691452999 -0.6064448840 -0.0530570540 -0.0000001192 -0.0000000261 -2.7999997139 1 0054.png

55 0.7044160268 0.0616284125 -0.7044160268 -0.0616284125 0.0000000000 -0.0000000298 -2.7999999523 1 0055.png

56 0.6064449047 0.0530570595 -0.7903343933 -0.0691453019 0.0000001192 -0.0000000261 -2.7999997139 1 0056.png

57 -0.4980973389 -0.0435778692 0.8627299219 0.0754790841 0.0000000000 -0.0000000075 -2.7999997139 1 0057.png

58 -0.3812272185 -0.0333530599 0.9203638872 0.0805214034 0.0000000000 -0.0000000298 -2.8000001907 1 0058.png

59 -0.2578341694 -0.0225575644 0.9622501847 0.0841859813 0.0000000000 0.0000000000 -2.7999999523 1 0059.png

60 -0.1300294950 -0.0113761076 0.9876721154 0.0864101096 -0.0000001192 -0.0000000298 -2.7999999523 1 0060.png

61 -0.0000000000 -0.0000000000 0.9961946988 0.0871557351 0.0000000000 -0.0000000298 -2.7999999523 1 0061.png

62 0.1300294950 0.0113761076 0.9876721154 0.0864101096 0.0000001192 -0.0000000298 -2.7999999523 1 0062.png

63 0.2578341694 0.0225575644 0.9622501847 0.0841859813 0.0000000000 0.0000000000 -2.7999999523 1 0063.png

64 0.3812272185 0.0333530599 0.9203638872 0.0805214034 0.0000000000 -0.0000000298 -2.8000001907 1 0064.png

65 0.4980973389 0.0435778692 0.8627299219 0.0754790841 0.0000000000 -0.0000000075 -2.7999997139 1 0065.png

66 0.6064449047 0.0530570595 0.7903343933 0.0691453019 -0.0000001192 -0.0000000261 -2.7999997139 1 0066.png

67 0.7044160268 0.0616284125 0.7044160268 0.0616284125 0.0000000000 -0.0000000298 -2.7999999523 1 0067.png

68 0.7903344097 0.0691452999 0.6064448840 0.0530570540 0.0000001192 -0.0000000261 -2.7999997139 1 0068.png

69 0.8627299199 0.0754790803 0.4980973428 0.0435778700 0.0000000000 -0.0000000075 -2.7999997139 1 0069.png

70 0.9203638910 0.0805214024 0.3812272096 0.0333530588 0.0000000000 -0.0000000298 -2.8000001907 1 0070.png

71 0.9622501890 0.0841859764 0.2578341549 0.0225575641 0.0000000000 0.0000000000 -2.7999999523 1 0071.png

72 0.9876721123 0.0864101152 0.1300295150 0.0113761085 -0.0000001192 -0.0000000298 -2.7999999523 1 0072.png

73 0.9659258317 0.2588190250 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.8000001907 1 0073.png

74 0.9576621987 0.2566048107 -0.1260786108 -0.0337826622 -0.0000000596 -0.0000001192 -2.7999999523 1 0074.png

75 0.9330126980 0.2499999985 -0.2500000145 -0.0669873041 0.0000000000 0.0000000000 -2.7999999523 1 0075.png

76 0.8923991010 0.2391176210 -0.3696438072 -0.0990457655 0.0000000000 0.0000001192 -2.7999999523 1 0076.png

77 0.8365163036 0.2241438627 -0.4829629148 -0.1294095261 0.0000000000 0.0000000000 -2.7999999523 1 0077.png

78 0.7663204821 0.2053349553 -0.5880183837 -0.1575590530 0.0000000596 -0.0000001043 -2.7999999523 1 0078.png

79 0.6830126941 0.1830126904 -0.6830127159 -0.1830126904 0.0000000000 0.0000000000 -2.8000001907 1 0079.png

80 0.5880184038 0.1575590442 -0.7663204691 -0.2053349534 -0.0000000596 -0.0000001043 -2.7999999523 1 0080.png

81 -0.4829629017 -0.1294095206 0.8365163126 0.2241438606 0.0000000000 0.0000000000 -2.7999999523 1 0081.png

82 -0.3696437971 -0.0990457582 0.8923991074 0.2391176157 0.0000000000 0.0000001192 -2.7999999523 1 0082.png

83 -0.2500000227 -0.0669873040 0.9330126973 0.2499999929 0.0000000000 0.0000000000 -2.7999999523 1 0083.png

84 -0.1260786169 -0.0337826637 0.9576621972 0.2566048131 0.0000000596 -0.0000001192 -2.7999999523 1 0084.png

85 -0.0000000000 -0.0000000000 0.9659258257 0.2588190471 0.0000000000 0.0000000000 -2.8000001907 1 0085.png

86 0.1260786169 0.0337826637 0.9576621972 0.2566048131 -0.0000000596 -0.0000001192 -2.7999999523 1 0086.png

87 0.2500000227 0.0669873040 0.9330126973 0.2499999929 0.0000000000 0.0000000000 -2.7999999523 1 0087.png

88 0.3696437971 0.0990457582 0.8923991074 0.2391176157 0.0000000000 0.0000001192 -2.7999999523 1 0088.png

89 0.4829629017 0.1294095206 0.8365163126 0.2241438606 0.0000000000 0.0000000000 -2.7999999523 1 0089.png

90 0.5880184038 0.1575590442 0.7663204691 0.2053349534 0.0000000596 -0.0000001043 -2.7999999523 1 0090.png

91 0.6830126941 0.1830126904 0.6830127159 0.1830126904 0.0000000000 0.0000000000 -2.8000001907 1 0091.png

92 0.7663204821 0.2053349553 0.5880183837 0.1575590530 -0.0000000596 -0.0000001043 -2.7999999523 1 0092.png

93 0.8365163036 0.2241438627 0.4829629148 0.1294095261 0.0000000000 0.0000000000 -2.7999999523 1 0093.png

94 0.8923991010 0.2391176210 0.3696438072 0.0990457655 0.0000000000 0.0000001192 -2.7999999523 1 0094.png

95 0.9330126980 0.2499999985 0.2500000145 0.0669873041 0.0000000000 0.0000000000 -2.7999999523 1 0095.png

96 0.9576621987 0.2566048107 0.1260786108 0.0337826622 0.0000000596 -0.0000001192 -2.7999999523 1 0096.png

